run_id,tool,dbms,repeat_id,elapsed_min,risk_branches_hit,target_region_branch_coverage,risk_targets_hit,target_function_hit_rate,global_branches_hit,global_branch_coverage,risk_branches_total,global_branches_total,risk_targets_total
monetdb_sqleek_full_r4,SQLeek-Full,MonetDB,4,60,28810.0,0.239999333566585,8510.0,0.83162317990814,81769.0,0.2708748799151952,,,
monetdb_sqleek_full_r4,SQLeek-Full,MonetDB,4,180,30986.0,0.2581263224538078,8541.0,0.834652594547054,85496.0,0.2832212541822639,,,
monetdb_sqleek_full_r4,SQLeek-Full,MonetDB,4,300,32298.0,0.2690558304593392,8550.0,0.835532102022867,88046.0,0.291668599065823,,,
monetdb_sqleek_full_r4,SQLeek-Full,MonetDB,4,480,33347.0,0.277794438613152,8562.0,0.836704778657285,90034.0,0.2982542153907311,,,
monetdb_sqleek_full_r4,SQLeek-Full,MonetDB,4,600,33901.0,0.2824094900118292,8564.0,0.836900224763022,90942.0,0.3012621327061318,,,
monetdb_sqleek_full_r4,SQLeek-Full,MonetDB,4,720,34527.0,0.2876243314839806,8564.0,0.836900224763022,92075.0,0.3050154039818465,,,
monetdb_sqleek_full_r4,SQLeek-Full,MonetDB,4,900,34905.0,0.2907732293697206,8564.0,0.836900224763022,92948.0,0.307907377347865,,,
monetdb_sqleek_full_r4,SQLeek-Full,MonetDB,4,1200,35867.0,0.298787091184752,8574.0,0.837877455291703,94730.0,0.3138105807135521,,,
monetdb_sqleek_full_r4,SQLeek-Full,MonetDB,4,1440,36122.0,0.3009113476949734,8575.0,0.837975178344571,95289.0,0.315662371219399,,,
monetdb_sqleek_full_r5,SQLeek-Full,MonetDB,5,60,28714.0,0.2391996134686193,8523.0,0.832893579595427,81660.0,0.2705137973299765,,,
monetdb_sqleek_full_r5,SQLeek-Full,MonetDB,5,180,30906.0,0.2574598890388364,8558.0,0.836313886445813,85344.0,0.2827177261735184,,,
monetdb_sqleek_full_r5,SQLeek-Full,MonetDB,5,300,32579.0,0.2713966778294264,8581.0,0.83856151666178,88697.0,0.2938251565243316,,,
monetdb_sqleek_full_r5,SQLeek-Full,MonetDB,5,480,34023.0,0.2834258009696606,8582.0,0.838659239714649,91681.0,0.3037102063802299,,,
monetdb_sqleek_full_r5,SQLeek-Full,MonetDB,5,600,34661.0,0.2887406074540578,8582.0,0.838659239714649,92770.0,0.3073177195481498,,,
monetdb_sqleek_full_r5,SQLeek-Full,MonetDB,5,720,34913.0,0.2908398727112177,8582.0,0.838659239714649,93438.0,0.3095305926392155,,,
monetdb_sqleek_full_r5,SQLeek-Full,MonetDB,5,900,35942.0,0.2994118725112877,8585.0,0.838952408873253,95190.0,0.3153344154768609,,,
monetdb_sqleek_full_r5,SQLeek-Full,MonetDB,5,1200,36609.0,0.3049682611086119,8585.0,0.838952408873253,96315.0,0.3190611852784311,,,
monetdb_sqleek_full_r5,SQLeek-Full,MonetDB,5,1440,37087.0,0.3089502007630663,8596.0,0.840027362454803,97093.0,0.3216384536389837,,,
postgresql_sqleek_wo_m1_r1,SQLeek-W/O-M1,PostgreSQL,1,60,300,0.09375,2317.173913043478478,0.4883720930232558,34902.311774088833772,0.20456166788236332,3200,170620,4845
postgresql_sqleek_wo_m1_r1,SQLeek-W/O-M1,PostgreSQL,1,180,400,0.125,2738.47826086956502,0.5813953488372093,41799.896438676783873,0.24498825717194225,3200,170620,4845
postgresql_sqleek_wo_m1_r1,SQLeek-W/O-M1,PostgreSQL,1,300,600,0.1875,2738.47826086956502,0.5813953488372093,44282.124289619016054,0.25953653903187796,3200,170620,4845
postgresql_sqleek_wo_m1_r1,SQLeek-W/O-M1,PostgreSQL,1,480,600,0.1875,2738.47826086956502,0.5813953488372093,47161.645358577072329,0.2764133475476326,3200,170620,4845
postgresql_sqleek_wo_m1_r1,SQLeek-W/O-M1,PostgreSQL,1,600,600,0.1875,2738.47826086956502,0.5813953488372093,48786.376315557441558,0.2859358593104996,3200,170620,4845
postgresql_sqleek_wo_m1_r1,SQLeek-W/O-M1,PostgreSQL,1,720,600,0.1875,2738.47826086956502,0.5813953488372093,49768.32650672908494,0.2916910473961381,3200,170620,4845
postgresql_sqleek_wo_m1_r1,SQLeek-W/O-M1,PostgreSQL,1,900,600,0.1875,2738.47826086956502,0.5813953488372093,50809.084299878966704,0.29779090552033155,3200,170620,4845
