tool,dbms,elapsed_min,mean_target_region_branch_coverage,std_target_region_branch_coverage,mean_risk_branches_hit,std_risk_branches_hit,mean_risk_targets_hit,std_risk_targets_hit,mean_global_branch_coverage,std_global_branch_coverage,mean_global_branches_hit,std_global_branches_hit,risk_branches_total,risk_targets_total,global_branches_total,mean_target_region_hit_coverage,se_target_region_branch_coverage,ci95_target_region_branch_coverage,se_global_branch_coverage,ci95_global_branch_coverage
SQLeek-W/O-M1,PostgreSQL,1200,0.203125,0.03125,650,100,2791.141304347826008,105.326086956521976,0.293756061784108,0.027640290102509,50120.659261604560015,4715.98629729003278,3200,4845,170620,0.576086956521739,0.015625,0.030625,0.013820145051254,0.027087484300459
SQLeek-W/O-M1,PostgreSQL,1440,0.203125,0.03125,650,100,2791.141304347826008,105.326086956521976,0.297773872407961,0.027139843986728,50806.178110246313736,4630.600181015545786,3200,4845,170620,0.576086956521739,0.015625,0.030625,0.013569921993364,0.026597047106994
SQLeek-W/O-M1,MySQL,60,0.372103658536585,0.004733900575261,1712.421036585365755,21.785410447350294,733.200000000000045,12.00833044182246,0.270867212842309,0.006491136719656,88558.410035515786149,2122.238203671252904,4602,1445,326944,0.507404844290657,0.002117064697002,0.004149446806123,0.002902924591279,0.005689732198907
SQLeek-W/O-M1,MySQL,180,0.40327743902439,0.018634657561366,1855.882774390243867,85.75669409740425,781,20.260799589354811,0.288481069535833,0.015566251523068,94317.154798323303112,5089.292537958102002,4602,1445,326944,0.540484429065744,0.008333672208929,0.0163339975295,0.006961439312088,0.013644421051693
SQLeek-W/O-M1,MySQL,300,0.416425304878049,0.025338187813364,1916.389253048780347,116.606340317100731,808.399999999999977,33.974990802059089,0.295903682684673,0.019523090738767,96743.93363165766641,6382.957378495404555,4602,1445,326944,0.559446366782007,0.011331582075468,0.022209900867917,0.008730991604556,0.01711274354493
SQLeek-W/O-M1,MySQL,480,0.427553353658537,0.031642975932318,1967.600533536585317,145.620975240529646,827.200000000000045,45.207300295416893,0.302724928137484,0.023082236303989,98974.098904981437954,7546.598666171439618,4602,1445,326944,0.572456747404844,0.014151169039011,0.027736291316461,0.010322689889687,0.020232472183786
SQLeek-W/O-M1,MySQL,600,0.435632621951219,0.036196846158332,2004.781326219512266,166.577886020642694,839,52.454742397613586,0.306975126644221,0.025594336370996,100363.675805568040232,8367.914710478898996,4602,1445,326944,0.580622837370242,0.016187721716226,0.031727934563804,0.011446135192908,0.022434424978101
SQLeek-W/O-M1,MySQL,720,0.443140243902439,0.04059842888197,2039.331402439024259,186.8339697148281,851.399999999999977,60.077450012463082,0.309337510694743,0.026920641350616,101136.043096581997816,8801.542165735729213,4602,1445,326944,0.589204152249135,0.018156169351955,0.035586091929832,0.012039276811574,0.023596982550685
SQLeek-W/O-M1,MySQL,900,0.448208841463415,0.043629928927802,2062.657088414634018,200.784932925746773,860.399999999999977,64.913788982002899,0.31233573182817,0.028701451211245,102116.293506829242688,9383.767264809343033,4602,1445,326944,0.595432525951557,0.01951189738721,0.038243318878932,0.012835679192248,0.025157931216805
SQLeek-W/O-M1,MySQL,1200,0.454382621951219,0.046562496257022,2091.068826219512175,214.280607774813774,868.399999999999977,68.463859079079086,0.316747197823504,0.031027588096433,103558.595845207833918,10144.283762600025511,4602,1445,326944,0.600968858131488,0.020823381366556,0.04081382747845,0.013875959232297,0.027196880095303
SQLeek-W/O-M1,MySQL,1440,0.456935975609756,0.047837422193925,2102.819359756097583,220.147816936441529,871.600000000000023,70.315716593091764,0.318995094267618,0.032175520591046,104293.532100232056109,10519.593404118875696,4602,1445,326944,0.60318339100346,0.021393545578795,0.041931349334437,0.014389330250605,0.028203087291185
SQLeek-W/O-M1,MariaDB,0,0.036252354048964,0,154,0,200,0,0.079926240288531,0.000303234482955,23579.200000000000728,89.457811285543983,4248,3041,295012,0.065767839526472,0,0,0.000135610583402,0.000265796743468
SQLeek-W/O-M1,MariaDB,60,0.378389830508475,0.007605436387068,1607.400000000000091,32.307893772265622,1616,14.404860290887934,0.270842541998292,0.002232926922021,79901.80000000000291,658.740237119306357,4248,3041,295012,0.53140414337389,0.003401254552007,0.006666458921934,0.000998595277286,0.00195724674348
SQLeek-W/O-M1,MariaDB,180,0.425706214689266,0.008119933532093,1808.400000000000091,34.493477644331541,1747.200000000000045,15.319921670818033,0.296463194717503,0.002275970232808,87460.19999999999709,671.4385303212797,4248,3041,295012,0.574547846103255,0.003631344670108,0.007117435553412,0.001017844831065,0.001994975868888
SQLeek-W/O-M1,MariaDB,300,0.442043314500942,0.007825929478641,1877.799999999999955,33.244548425268164,1793,13.784048752090222,0.305540791561021,0.002595634190229,90138.19999999999709,765.743233727860002,4248,3041,295012,0.589608681354817,0.003499862060272,0.006859729638134,0.001160802898815,0.002275173681677
SQLeek-W/O-M1,MariaDB,480,0.457015065913371,0.004635743460071,1941.400000000000091,19.692638218379983,1831.200000000000045,6.300793600809346,0.3131831925481,0.002678142920626,92392.80000000000291,790.084299299764552,4248,3041,295012,0.602170338704374,0.002073167500594,0.004063408301163,0.001197701924796,0.0023474957726
SQLeek-W/O-M1,MariaDB,600,0.465348399246704,0.003786288533987,1976.799999999999955,16.084153692376855,1856,8.660254037844387,0.317857578674766,0.001941362519269,93771.80000000000291,572.725239534630646,4248,3041,295012,0.610325550805656,0.001693279708885,0.003318828229414,0.000868203712411,0.001701679276326
SQLeek-W/O-M1,MariaDB,720,0.475800376647834,0.002821914661674,2021.200000000000045,11.987493482792805,1884,11.180339887498949,0.322897373666156,0.00082827401074,95258.600000000005821,244.350772456319447,4248,3041,295012,0.619533048339362,0.001261998602041,0.002473517260001,0.000370415398402,0.000726014180868
SQLeek-W/O-M1,MariaDB,900,0.484839924670433,0.00295243165633,2059.599999999999909,12.541929676090518,1906.799999999999955,6.833739825307955,0.327276856534649,0.001110704052876,96550.600000000005821,327.671024046985281,4248,3041,295012,0.62703058204538,0.001320367576495,0.002587920449931,0.000496721953023,0.000973575027925
SQLeek-W/O-M1,MariaDB,1200,0.498775894538606,0.002504601897979,2118.800000000000182,10.639548862616309,1936.200000000000045,11.819475453673906,0.333320000542351,0.00184052131518,98333.399999999994179,542.97587423383743,4248,3041,295012,0.636698454455771,0.001120092020091,0.002195380359379,0.000823106154956,0.001613288063714
SQLeek-W/O-M1,MariaDB,1440,0.508427495291902,0.00360638457411,2159.800000000000182,15.319921670818033,1962.400000000000091,14.825653442597396,0.337502881238729,0.001360923806969,99567.399999999994179,401.488854141680974,4248,3041,295012,0.645314041433739,0.001612824212143,0.003161135455801,0.000608623628916,0.001192902312676
SQLeek-W/O-M1,MonetDB,60,0.088935539227937,0.003428814492156,10676,411.601749267419905,5225.800000000000182,197.673215181015337,0.100370358101169,0.004970292459154,30298.799999999999272,1500.382184644965719,120042,10233,301870,0.510681129678491,0.00153341245734,0.003005488416386,0.002222782361345,0.004356653428236
SQLeek-W/O-M1,MonetDB,180,0.089255427267123,0.003555242305435,10714.399999999999636,426.77839682908035,5241.399999999999636,204.617447936386895,0.101038195249611,0.00526025817391,30500.400000000001455,1587.914134958184604,120042,10233,301870,0.512205609303235,0.001589952694287,0.003116307280803,0.002352458971212,0.004610819583576
SQLeek-W/O-M1,MonetDB,300,0.089282084603722,0.003549376795597,10717.600000000000364,426.074289297066116,5241.399999999999636,204.617447936386895,0.101060721502634,0.005254223966351,30507.200000000000728,1586.092588722360915,120042,10233,301870,0.512205609303235,0.001587329558543,0.003111165934744,0.002349760391554,0.004605530367446
SQLeek-W/O-M1,MonetDB,480,0.089487012878826,0.003649761248564,10742.200000000000728,438.124639800137231,5245.600000000000364,206.634459856046277,0.101281346274887,0.005330108678485,30573.799999999999272,1608.99990677439132,120042,10233,301870,0.512616046125281,0.001632222850687,0.003199156787346,0.002383697066511,0.004672046250362
SQLeek-W/O-M1,MonetDB,600,0.08949700938005,0.00364243452924,10743.399999999999636,437.245125758995755,5245.600000000000364,206.634459856046277,0.10128929671713,0.005321596270412,30576.200000000000728,1606.430266149141062,120042,10233,301870,0.512616046125281,0.001628946242194,0.003192734634701,0.00237989020189,0.004664584795704
SQLeek-W/O-M1,MonetDB,720,0.089505339797737,0.003646975613363,10744.399999999999636,437.79024657934076,5245.600000000000364,206.634459856046277,0.101301222380495,0.005323200889024,30579.799999999999272,1606.914652369565147,120042,10233,301870,0.512616046125281,0.001630977076753,0.003196715070435,0.002380607809149,0.004665991305932
SQLeek-W/O-M1,MonetDB,900,0.089512004131887,0.003654359693188,10745.200000000000728,438.676646289724431,5245.800000000000182,206.729775310669737,0.101306522675324,0.005323355088373,30581.400000000001455,1606.961200527256096,120042,10233,301870,0.512635590735855,0.001634279337641,0.003203187501776,0.002380676769194,0.004666126467621
SQLeek-W/O-M1,MonetDB,1200,0.089512004131887,0.003626475862619,10745.200000000000728,435.329415500492019,5245.399999999999636,206.404457316212046,0.101308510285885,0.005312191096139,30582,1603.591126191461626,120042,10233,301870,0.512596501514707,0.001621809309516,0.003178746246651,0.002375684080087,0.004656340796971
SQLeek-W/O-M1,MonetDB,1440,0.089528664967261,0.003632532100166,10747.200000000000728,436.056418368082291,5245.399999999999636,206.404457316212046,0.101319773412396,0.005310974515744,30585.400000000001455,1603.223877067703825,120042,10233,301870,0.512596501514707,0.001624517741284,0.003184054772917,0.002375140008795,0.004655274417237
SQLeek-W/O-M2,PostgreSQL,60,0.1875,0,600,0,2896.46739130435,105.32608695652,0.343067924044342,0.048770284256507,58534.2492004457,8321.18589984522,3200,4845,170620,0.597826086956522,0,0,0.0243851421282535,0.0477948785713769
