bucket_id	reason	seed_count	raw_profile_count	raw_profile_bytes	bucket_profdata	cumulative_profdata	warning_count	merge_log
89	periodic_restart	16800	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000089.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000089.merge.log
90	checkpoint_t720	16960	312	288983000	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000090.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000090.merge.log
91	periodic_restart	17000	118	108401528	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000091.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000091.merge.log
92	periodic_restart	17200	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000092.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000092.merge.log
93	periodic_restart	17400	352	326522840	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000093.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000093.merge.log
94	periodic_restart	17600	352	326522840	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000094.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000094.merge.log
95	periodic_restart	17800	352	326522840	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000095.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000095.merge.log
96	checkpoint_t900	17835	186	170732504	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000096.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000096.merge.log
97	periodic_restart	18000	243	225713528	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000097.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000097.merge.log
98	periodic_restart	18200	352	326522840	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000098.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000098.merge.log
