tool,dbms,elapsed_min,mean_target_region_branch_coverage,std_target_region_branch_coverage,se_target_region_branch_coverage,ci95_target_region_branch_coverage,mean_risk_branches_hit,std_risk_branches_hit,mean_risk_targets_hit,std_risk_targets_hit,mean_global_branch_coverage,std_global_branch_coverage,se_global_branch_coverage,ci95_global_branch_coverage,mean_global_branches_hit,std_global_branches_hit
SQLancer,SQLite,300,0.491809,0,0,0,1381,0,532,0,0.219144,0,0,0,13693,0
SQLancer,SQLite,480,0.491809,0,0,0,1381,0,532,0,0.219144,0,0,0,13693,0
SQLancer,SQLite,600,0.491809,0,0,0,1381,0,532,0,0.219144,0,0,0,13693,0
SQLancer,SQLite,720,0.491809,0,0,0,1381,0,532,0,0.219144,0,0,0,13693,0
SQLancer,SQLite,900,0.491809,0,0,0,1381,0,532,0,0.219144,0,0,0,13693,0
SQLancer,SQLite,1200,0.491809,0,0,0,1381,0,532,0,0.219144,0,0,0,13693,0
SQLancer,SQLite,1440,0.491809,0,0,0,1381,0,532,0,0.219144,0,0,0,13693,0
SQLaser,MySQL,0,0.169926,0,0,0,782,0,389,0,0.157645,0.000064,0.000032,0.000063,51541.25,21.077239
SQLaser,MySQL,60,0.366037,0.04934,0.02467,0.048354,1684.5,227.064602,698.25,66.2036,0.266031,0.031006,0.015503,0.030386,86977.25,10137.168782
SQLaser,MySQL,180,0.416069,0.016423,0.008212,0.016095,1914.75,75.579428,755.75,26.247222,0.292029,0.012944,0.006472,0.012685,95477,4231.913436
SQLaser,MySQL,300,0.432421,0.013693,0.006846,0.013419,1990,63.013226,774,21.087121,0.302074,0.008699,0.00435,0.008525,98761.25,2844.236673
SQLaser,MySQL,480,0.45339,0.009473,0.004736,0.009283,2086.5,43.592813,797.25,19.72097,0.311256,0.006543,0.003272,0.006412,101763.25,2139.313188
SQLaser,MySQL,600,0.45904,0.008922,0.004461,0.008743,2112.5,41.056871,802.25,21.328776,0.314591,0.006031,0.003016,0.00591,102853.5,1971.818873
SQLaser,MySQL,720,0.462027,0.009642,0.004821,0.009449,2126.25,44.372476,806.25,20.822664,0.316351,0.006097,0.003048,0.005975,103429,1993.27603
SQLaser,MySQL,900,0.46708,0.010566,0.005283,0.010355,2149.5,48.624411,814.25,20.402206,0.31989,0.006236,0.003118,0.006112,104586,2038.935997
SQLaser,MySQL,1200,0.474957,0.008691,0.004345,0.008517,2185.75,39.994791,821.25,16.540355,0.323909,0.005293,0.002647,0.005188,105900.25,1730.668344
SQLaser,MySQL,1440,0.477021,0.007949,0.003975,0.00779,2195.25,36.582099,823.25,17.632829,0.325379,0.005332,0.002666,0.005225,106380.75,1743.106685
SQLaser,PostgreSQL,0,0.0625,0,0,0,200,0,1239.418605,0,0.147066,0,0,0,1058.874452,0
SQLaser,PostgreSQL,60,0.0625,0,0,0,200,0,1239.418605,0,0.147066,0,0,0,1058.874452,0
SQLaser,PostgreSQL,180,0.0625,0,0,0,200,0,1239.418605,0,0.147066,0,0,0,1058.874452,0
