run_id,tool,dbms,repeat_id,relative_time,edges_found
postgresql_griffin_r5,Griffin,PostgreSQL,5,10800,162218.75472222222
postgresql_griffin_r5,Griffin,PostgreSQL,5,18000,162426.68305555554
postgresql_griffin_r5,Griffin,PostgreSQL,5,28800,166550.595
postgresql_griffin_r5,Griffin,PostgreSQL,5,36000,167832.81972222222
postgresql_griffin_r5,Griffin,PostgreSQL,5,43200,167832.81972222222
postgresql_griffin_r5,Griffin,PostgreSQL,5,54000,167832.81972222222
postgresql_griffin_r5,Griffin,PostgreSQL,5,72000,170050.72194444443
postgresql_griffin_r5,Griffin,PostgreSQL,5,86400,170050.72194444443
postgresql_squirrel_r1,SQUIRREL,PostgreSQL,1,0,0.0
postgresql_squirrel_r1,SQUIRREL,PostgreSQL,1,3600,52025.0
postgresql_squirrel_r1,SQUIRREL,PostgreSQL,1,10800,57929.999999999985
postgresql_squirrel_r1,SQUIRREL,PostgreSQL,1,18000,58482.99999999999
postgresql_squirrel_r1,SQUIRREL,PostgreSQL,1,28800,59042.0
postgresql_squirrel_r1,SQUIRREL,PostgreSQL,1,36000,59268.99999999999
postgresql_squirrel_r1,SQUIRREL,PostgreSQL,1,43200,59344.99999999999
postgresql_squirrel_r1,SQUIRREL,PostgreSQL,1,54000,59560.99999999998
postgresql_squirrel_r1,SQUIRREL,PostgreSQL,1,72000,60496.999999999985
postgresql_squirrel_r1,SQUIRREL,PostgreSQL,1,86400,60855.0
postgresql_squirrel_r2,SQUIRREL,PostgreSQL,2,0,0.0
postgresql_squirrel_r2,SQUIRREL,PostgreSQL,2,3600,53260.99999999999
postgresql_squirrel_r2,SQUIRREL,PostgreSQL,2,10800,57870.0
postgresql_squirrel_r2,SQUIRREL,PostgreSQL,2,18000,58505.999999999985
postgresql_squirrel_r2,SQUIRREL,PostgreSQL,2,28800,59092.0
postgresql_squirrel_r2,SQUIRREL,PostgreSQL,2,36000,59244.99999999999
postgresql_squirrel_r2,SQUIRREL,PostgreSQL,2,43200,59389.999999999985
postgresql_squirrel_r2,SQUIRREL,PostgreSQL,2,54000,59553.999999999985
postgresql_squirrel_r2,SQUIRREL,PostgreSQL,2,72000,60101.999999999985
postgresql_squirrel_r2,SQUIRREL,PostgreSQL,2,86400,60227.99999999999
postgresql_squirrel_r3,SQUIRREL,PostgreSQL,3,0,0.0
postgresql_squirrel_r3,SQUIRREL,PostgreSQL,3,3600,53190.0
postgresql_squirrel_r3,SQUIRREL,PostgreSQL,3,10800,56709.999999999985
postgresql_squirrel_r3,SQUIRREL,PostgreSQL,3,18000,57202.99999999999
postgresql_squirrel_r3,SQUIRREL,PostgreSQL,3,28800,57974.99999999999
postgresql_squirrel_r3,SQUIRREL,PostgreSQL,3,36000,58181.0
postgresql_squirrel_r3,SQUIRREL,PostgreSQL,3,43200,58500.0
postgresql_squirrel_r3,SQUIRREL,PostgreSQL,3,54000,58678.99999999999
postgresql_squirrel_r3,SQUIRREL,PostgreSQL,3,72000,58952.0
postgresql_squirrel_r3,SQUIRREL,PostgreSQL,3,86400,59130.99999999999
postgresql_squirrel_r4,SQUIRREL,PostgreSQL,4,0,0.0
postgresql_squirrel_r4,SQUIRREL,PostgreSQL,4,3600,53962.0
postgresql_squirrel_r4,SQUIRREL,PostgreSQL,4,10800,55855.99999999998
postgresql_squirrel_r4,SQUIRREL,PostgreSQL,4,18000,56568.0
postgresql_squirrel_r4,SQUIRREL,PostgreSQL,4,28800,57937.99999999998
postgresql_squirrel_r4,SQUIRREL,PostgreSQL,4,36000,58520.999999999985
postgresql_squirrel_r4,SQUIRREL,PostgreSQL,4,43200,58685.999999999985
postgresql_squirrel_r4,SQUIRREL,PostgreSQL,4,54000,58897.999999999985
postgresql_squirrel_r4,SQUIRREL,PostgreSQL,4,72000,59317.99999999999
postgresql_squirrel_r4,SQUIRREL,PostgreSQL,4,86400,59569.999999999985
postgresql_squirrel_r5,SQUIRREL,PostgreSQL,5,0,0.0
postgresql_squirrel_r5,SQUIRREL,PostgreSQL,5,3600,55093.0
postgresql_squirrel_r5,SQUIRREL,PostgreSQL,5,10800,57514.99999999999
postgresql_squirrel_r5,SQUIRREL,PostgreSQL,5,18000,58300.999999999985
postgresql_squirrel_r5,SQUIRREL,PostgreSQL,5,28800,59313.0
postgresql_squirrel_r5,SQUIRREL,PostgreSQL,5,36000,59712.99999999999
postgresql_squirrel_r5,SQUIRREL,PostgreSQL,5,43200,59980.999999999985
postgresql_squirrel_r5,SQUIRREL,PostgreSQL,5,54000,60085.999999999985
postgresql_squirrel_r5,SQUIRREL,PostgreSQL,5,72000,60844.99999999999
postgresql_squirrel_r5,SQUIRREL,PostgreSQL,5,86400,60892.99999999999
postgresql_dynsql_r1,DynSQL,PostgreSQL,1,0,16955
postgresql_dynsql_r1,DynSQL,PostgreSQL,1,3600,17221
postgresql_dynsql_r1,DynSQL,PostgreSQL,1,10800,17245
postgresql_dynsql_r1,DynSQL,PostgreSQL,1,18000,20147
postgresql_dynsql_r1,DynSQL,PostgreSQL,1,28800,20622
postgresql_dynsql_r1,DynSQL,PostgreSQL,1,36000,20622
postgresql_dynsql_r1,DynSQL,PostgreSQL,1,43200,20688
postgresql_dynsql_r1,DynSQL,PostgreSQL,1,54000,20689
postgresql_dynsql_r1,DynSQL,PostgreSQL,1,72000,20689
postgresql_dynsql_r1,DynSQL,PostgreSQL,1,86400,20689
postgresql_dynsql_r2,DynSQL,PostgreSQL,2,0,16951
postgresql_dynsql_r2,DynSQL,PostgreSQL,2,3600,17218
postgresql_dynsql_r2,DynSQL,PostgreSQL,2,10800,17235
postgresql_dynsql_r2,DynSQL,PostgreSQL,2,18000,20147
postgresql_dynsql_r2,DynSQL,PostgreSQL,2,28800,20617
postgresql_dynsql_r2,DynSQL,PostgreSQL,2,36000,20617
postgresql_dynsql_r2,DynSQL,PostgreSQL,2,43200,20687
postgresql_dynsql_r2,DynSQL,PostgreSQL,2,54000,20687
postgresql_dynsql_r2,DynSQL,PostgreSQL,2,72000,20687
postgresql_dynsql_r2,DynSQL,PostgreSQL,2,86400,20687
postgresql_sqlancer_r1,SQLancer,PostgreSQL,1,0,0.0
postgresql_sqlancer_r1,SQLancer,PostgreSQL,1,3600,162322.7188888889
postgresql_sqlancer_r1,SQLancer,PostgreSQL,1,10800,167416.96305555553
postgresql_sqlancer_r1,SQLancer,PostgreSQL,1,18000,169808.1388888889
postgresql_sqlancer_r1,SQLancer,PostgreSQL,1,28800,169808.1388888889
postgresql_sqlancer_r1,SQLancer,PostgreSQL,1,36000,169808.1388888889
postgresql_sqlancer_r1,SQLancer,PostgreSQL,1,43200,169808.1388888889
postgresql_sqlancer_r1,SQLancer,PostgreSQL,1,54000,169808.1388888889
postgresql_sqlancer_r1,SQLancer,PostgreSQL,1,72000,169808.1388888889
postgresql_sqlancer_r1,SQLancer,PostgreSQL,1,86400,169808.1388888889
postgresql_sqlancer_r2,SQLancer,PostgreSQL,2,0,0.0
postgresql_sqlancer_r2,SQLancer,PostgreSQL,2,3600,162392.02833333335
postgresql_sqlancer_r2,SQLancer,PostgreSQL,2,10800,167486.2725
postgresql_sqlancer_r2,SQLancer,PostgreSQL,2,18000,169877.44833333333
postgresql_sqlancer_r2,SQLancer,PostgreSQL,2,28800,169877.44833333333
postgresql_sqlancer_r2,SQLancer,PostgreSQL,2,36000,169877.44833333333
postgresql_sqlancer_r2,SQLancer,PostgreSQL,2,43200,169877.44833333333
postgresql_sqlancer_r2,SQLancer,PostgreSQL,2,54000,169877.44833333333
postgresql_sqlancer_r2,SQLancer,PostgreSQL,2,72000,169877.44833333333
postgresql_sqlancer_r2,SQLancer,PostgreSQL,2,86400,169877.44833333333
postgresql_sqlancer_r3,SQLancer,PostgreSQL,3,0,0.0
postgresql_sqlancer_r3,SQLancer,PostgreSQL,3,3600,162080.13583333333
postgresql_sqlancer_r3,SQLancer,PostgreSQL,3,10800,167174.38
postgresql_sqlancer_r3,SQLancer,PostgreSQL,3,18000,169565.55583333332
postgresql_sqlancer_r3,SQLancer,PostgreSQL,3,28800,169565.55583333332
postgresql_sqlancer_r3,SQLancer,PostgreSQL,3,36000,169565.55583333332
postgresql_sqlancer_r3,SQLancer,PostgreSQL,3,43200,169565.55583333332
postgresql_sqlancer_r3,SQLancer,PostgreSQL,3,54000,169565.55583333332
postgresql_sqlancer_r3,SQLancer,PostgreSQL,3,72000,169565.55583333332
postgresql_sqlancer_r3,SQLancer,PostgreSQL,3,86400,169565.55583333332
postgresql_sqlancer_r4,SQLancer,PostgreSQL,4,0,0.0
postgresql_sqlancer_r4,SQLancer,PostgreSQL,4,3600,161976.17166666666
postgresql_sqlancer_r4,SQLancer,PostgreSQL,4,10800,167070.41583333333
postgresql_sqlancer_r4,SQLancer,PostgreSQL,4,18000,169461.59166666667
postgresql_sqlancer_r4,SQLancer,PostgreSQL,4,28800,169461.59166666667
postgresql_sqlancer_r4,SQLancer,PostgreSQL,4,36000,169461.59166666667
postgresql_sqlancer_r4,SQLancer,PostgreSQL,4,43200,169461.59166666667
postgresql_sqlancer_r4,SQLancer,PostgreSQL,4,54000,169461.59166666667
postgresql_sqlancer_r4,SQLancer,PostgreSQL,4,72000,169461.59166666667
postgresql_sqlancer_r4,SQLancer,PostgreSQL,4,86400,169461.59166666667
postgresql_sqlancer_r5,SQLancer,PostgreSQL,5,0,0.0
postgresql_sqlancer_r5,SQLancer,PostgreSQL,5,3600,162392.02833333335
postgresql_sqlancer_r5,SQLancer,PostgreSQL,5,10800,167486.2725
postgresql_sqlancer_r5,SQLancer,PostgreSQL,5,18000,169877.44833333333
postgresql_sqlancer_r5,SQLancer,PostgreSQL,5,28800,169877.44833333333
postgresql_sqlancer_r5,SQLancer,PostgreSQL,5,36000,169877.44833333333
postgresql_sqlancer_r5,SQLancer,PostgreSQL,5,43200,169877.44833333333
postgresql_sqlancer_r5,SQLancer,PostgreSQL,5,54000,169877.44833333333
postgresql_sqlancer_r5,SQLancer,PostgreSQL,5,72000,169877.44833333333
postgresql_sqlancer_r5,SQLancer,PostgreSQL,5,86400,169877.44833333333
mysql_sqlaser_r1,SQLaser,MySQL,1,0,51555.0
mysql_sqlaser_r1,SQLaser,MySQL,1,3600,92147.0
mysql_sqlaser_r1,SQLaser,MySQL,1,10800,95669.99999999999
mysql_sqlaser_r1,SQLaser,MySQL,1,18000,99140.0
mysql_sqlaser_r1,SQLaser,MySQL,1,28800,102688.0
mysql_sqlaser_r1,SQLaser,MySQL,1,36000,103901.99999999999
mysql_sqlaser_r1,SQLaser,MySQL,1,43200,104957.0
mysql_sqlaser_r1,SQLaser,MySQL,1,54000,106082.99999999999
mysql_sqlaser_r1,SQLaser,MySQL,1,72000,107473.0
mysql_sqlaser_r1,SQLaser,MySQL,1,86400,107969.99999999999
mysql_sqlaser_r2,SQLaser,MySQL,2,0,0.0
mysql_sqlaser_r2,SQLaser,MySQL,2,3600,1604.0
mysql_sqlaser_r2,SQLaser,MySQL,2,10800,3588.0
mysql_sqlaser_r2,SQLaser,MySQL,2,18000,4957.0
mysql_sqlaser_r2,SQLaser,MySQL,2,28800,6392.0
mysql_sqlaser_r2,SQLaser,MySQL,2,36000,6997.0
mysql_sqlaser_r2,SQLaser,MySQL,2,43200,7376.0
mysql_sqlaser_r2,SQLaser,MySQL,2,54000,8349.0
mysql_sqlaser_r2,SQLaser,MySQL,2,72000,8728.0
mysql_sqlaser_r2,SQLaser,MySQL,2,86400,9329.0
mysql_sqlaser_r3,SQLaser,MySQL,3,0,51518.99999999997
mysql_sqlaser_r3,SQLaser,MySQL,3,3600,92045.0
mysql_sqlaser_r3,SQLaser,MySQL,3,10800,99180.99999999999
mysql_sqlaser_r3,SQLaser,MySQL,3,18000,101312.0
mysql_sqlaser_r3,SQLaser,MySQL,3,28800,103018.00000000001
mysql_sqlaser_r3,SQLaser,MySQL,3,36000,104175.0
mysql_sqlaser_r3,SQLaser,MySQL,3,43200,104447.0
mysql_sqlaser_r3,SQLaser,MySQL,3,54000,105497.0
mysql_sqlaser_r3,SQLaser,MySQL,3,72000,106790.99999999999
mysql_sqlaser_r3,SQLaser,MySQL,3,86400,107366.0
mysql_sqlaser_r4,SQLaser,MySQL,4,0,51527.99999999998
mysql_sqlaser_r4,SQLaser,MySQL,4,3600,91944.99999999999
mysql_sqlaser_r4,SQLaser,MySQL,4,10800,97551.99999999997
mysql_sqlaser_r4,SQLaser,MySQL,4,18000,99878.0
mysql_sqlaser_r4,SQLaser,MySQL,4,28800,102785.99999999999
mysql_sqlaser_r4,SQLaser,MySQL,4,36000,103402.0
mysql_sqlaser_r4,SQLaser,MySQL,4,43200,103784.99999999999
mysql_sqlaser_r4,SQLaser,MySQL,4,54000,105184.99999999997
mysql_sqlaser_r4,SQLaser,MySQL,4,72000,105827.0
mysql_sqlaser_r4,SQLaser,MySQL,4,86400,106167.0
mysql_sqlaser_r5,SQLaser,MySQL,5,0,51562.99999999998
mysql_sqlaser_r5,SQLaser,MySQL,5,3600,71772.0
mysql_sqlaser_r5,SQLaser,MySQL,5,10800,89505.0
mysql_sqlaser_r5,SQLaser,MySQL,5,18000,94714.99999999997
mysql_sqlaser_r5,SQLaser,MySQL,5,28800,98560.99999999999
mysql_sqlaser_r5,SQLaser,MySQL,5,36000,99934.99999999997
mysql_sqlaser_r5,SQLaser,MySQL,5,43200,100527.0
mysql_sqlaser_r5,SQLaser,MySQL,5,54000,101579.00000000001
mysql_sqlaser_r5,SQLaser,MySQL,5,72000,103510.0
mysql_sqlaser_r5,SQLaser,MySQL,5,86400,104019.99999999999
mysql_aflgo_r1,AFLGo,MySQL,1,0,63501.999999999985
mysql_aflgo_r1,AFLGo,MySQL,1,3600,64047.00000000001
mysql_aflgo_r1,AFLGo,MySQL,1,10800,64146.99999999997
mysql_aflgo_r1,AFLGo,MySQL,1,18000,64159.0
mysql_aflgo_r1,AFLGo,MySQL,1,28800,64165.0
mysql_aflgo_r1,AFLGo,MySQL,1,36000,64185.00000000001
mysql_aflgo_r1,AFLGo,MySQL,1,43200,64212.999999999985
mysql_aflgo_r1,AFLGo,MySQL,1,54000,64221.99999999999
mysql_aflgo_r1,AFLGo,MySQL,1,72000,64222.99999999998
mysql_aflgo_r1,AFLGo,MySQL,1,86400,64228.99999999997
mysql_aflgo_r2,AFLGo,MySQL,2,0,0.0
mysql_aflgo_r2,AFLGo,MySQL,2,3600,1371.0
mysql_aflgo_r2,AFLGo,MySQL,2,10800,3173.0
mysql_aflgo_r2,AFLGo,MySQL,2,18000,4368.0
mysql_aflgo_r2,AFLGo,MySQL,2,28800,5700.0
mysql_aflgo_r2,AFLGo,MySQL,2,36000,6399.0
mysql_aflgo_r2,AFLGo,MySQL,2,43200,6952.0
mysql_aflgo_r2,AFLGo,MySQL,2,54000,7553.0
mysql_aflgo_r2,AFLGo,MySQL,2,72000,7932.0
mysql_aflgo_r2,AFLGo,MySQL,2,86400,8564.0
mysql_aflgo_r3,AFLGo,MySQL,3,0,0.0
mysql_aflgo_r3,AFLGo,MySQL,3,3600,1267.0
mysql_aflgo_r3,AFLGo,MySQL,3,10800,3200.0
mysql_aflgo_r3,AFLGo,MySQL,3,18000,4306.0
mysql_aflgo_r3,AFLGo,MySQL,3,28800,5495.0
mysql_aflgo_r3,AFLGo,MySQL,3,36000,6456.0
mysql_aflgo_r3,AFLGo,MySQL,3,43200,6674.0
mysql_aflgo_r3,AFLGo,MySQL,3,54000,7363.0
mysql_aflgo_r3,AFLGo,MySQL,3,72000,8265.0
