run_id,tool,dbms,repeat_id,elapsed_min,risk_branches_hit,target_region_branch_coverage,risk_targets_hit,target_function_hit_rate,global_branches_hit,global_branch_coverage,risk_branches_total,risk_targets_total,global_branches_total,time_to_first_risk_target_sec,time_to_50pct_risk_targets_sec
postgresql_griffin_r2,Griffin,PostgreSQL,2,1440,781.99466666666653184,0.2416666666666666,31.625,0.6875,171090.36361111113,0.6856944444444445,,,,,
postgresql_griffin_r3,Griffin,PostgreSQL,3,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
postgresql_griffin_r3,Griffin,PostgreSQL,3,60,674.1333333333331648,0.2083333333333333,28.75,0.625,152480.77777777778,0.6111111111111112,,,,,
postgresql_griffin_r3,Griffin,PostgreSQL,3,180,701.09866666666643072,0.2166666666666666,29.708333333333336,0.6458333333333334,162010.8263888889,0.6493055555555556,,,,,
postgresql_griffin_r3,Griffin,PostgreSQL,3,300,728.064,0.225,30.666666666666664,0.6666666666666666,165476.2986111111,0.6631944444444444,,,,,
postgresql_griffin_r3,Griffin,PostgreSQL,3,480,728.064,0.225,30.666666666666664,0.6666666666666666,167139.7252777778,0.6698611111111111,,,,,
postgresql_griffin_r3,Griffin,PostgreSQL,3,600,728.064,0.225,30.666666666666664,0.6666666666666666,167902.12916666668,0.6729166666666667,,,,,
postgresql_griffin_r3,Griffin,PostgreSQL,3,720,728.064,0.225,30.666666666666664,0.6666666666666666,168872.46138888889,0.6768055555555555,,,,,
postgresql_griffin_r3,Griffin,PostgreSQL,3,900,728.064,0.225,30.666666666666664,0.6666666666666666,168872.46138888889,0.6768055555555555,,,,,
postgresql_griffin_r3,Griffin,PostgreSQL,3,1200,728.064,0.225,30.666666666666664,0.6666666666666666,170466.57861111112,0.6831944444444444,,,,,
postgresql_griffin_r3,Griffin,PostgreSQL,3,1440,728.064,0.225,30.666666666666664,0.6666666666666666,171332.94666666666,0.6866666666666666,,,,,
postgresql_griffin_r4,Griffin,PostgreSQL,4,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
postgresql_griffin_r4,Griffin,PostgreSQL,4,60,701.09866666666643072,0.2166666666666666,27.791666666666664,0.6041666666666666,153451.11,0.615,,,,,
postgresql_griffin_r4,Griffin,PostgreSQL,4,180,728.064,0.225,28.75,0.625,162773.23027777777,0.6523611111111111,,,,,
postgresql_griffin_r4,Griffin,PostgreSQL,4,300,755.02933333333326592,0.2333333333333333,29.708333333333336,0.6458333333333334,164367.34749999997,0.65875,,,,,
postgresql_griffin_r4,Griffin,PostgreSQL,4,480,755.02933333333326592,0.2333333333333333,29.708333333333336,0.6458333333333334,166723.8686111111,0.6681944444444444,,,,,
postgresql_griffin_r4,Griffin,PostgreSQL,4,600,755.02933333333326592,0.2333333333333333,29.708333333333336,0.6458333333333334,168040.74805555557,0.6734722222222222,,,,,
postgresql_griffin_r4,Griffin,PostgreSQL,4,720,755.02933333333326592,0.2333333333333333,29.708333333333336,0.6458333333333334,168941.77083333334,0.6770833333333334,,,,,
postgresql_griffin_r4,Griffin,PostgreSQL,4,900,755.02933333333326592,0.2333333333333333,29.708333333333336,0.6458333333333334,168941.77083333334,0.6770833333333334,,,,,
postgresql_griffin_r4,Griffin,PostgreSQL,4,1200,755.02933333333326592,0.2333333333333333,29.708333333333336,0.6458333333333334,170605.19749999998,0.68375,,,,,
postgresql_griffin_r4,Griffin,PostgreSQL,4,1440,755.02933333333326592,0.2333333333333333,29.708333333333336,0.6458333333333334,171610.18444444446,0.6877777777777778,,,,,
postgresql_griffin_r5,Griffin,PostgreSQL,5,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
postgresql_griffin_r5,Griffin,PostgreSQL,5,60,701.09866666666643072,0.2166666666666666,27.791666666666664,0.6041666666666666,152515.4325,0.61125,,,,,
postgresql_griffin_r5,Griffin,PostgreSQL,5,180,728.064,0.225,29.708333333333336,0.6458333333333334,162218.75472222222,0.6501388888888889,,,,,
postgresql_griffin_r5,Griffin,PostgreSQL,5,300,755.02933333333326592,0.2333333333333333,29.708333333333336,0.6458333333333334,162426.68305555554,0.6509722222222222,,,,,
postgresql_griffin_r5,Griffin,PostgreSQL,5,480,755.02933333333326592,0.2333333333333333,29.708333333333336,0.6458333333333334,166550.595,0.6675,,,,,
postgresql_griffin_r5,Griffin,PostgreSQL,5,600,755.02933333333326592,0.2333333333333333,29.708333333333336,0.6458333333333334,167832.81972222222,0.6726388888888889,,,,,
postgresql_griffin_r5,Griffin,PostgreSQL,5,720,755.02933333333326592,0.2333333333333333,29.708333333333336,0.6458333333333334,167832.81972222222,0.6726388888888889,,,,,
postgresql_griffin_r5,Griffin,PostgreSQL,5,900,755.02933333333326592,0.2333333333333333,29.708333333333336,0.6458333333333334,167832.81972222222,0.6726388888888889,,,,,
postgresql_griffin_r5,Griffin,PostgreSQL,5,1200,755.02933333333326592,0.2333333333333333,29.708333333333336,0.6458333333333334,170050.72194444443,0.6815277777777777,,,,,
postgresql_griffin_r5,Griffin,PostgreSQL,5,1440,755.02933333333326592,0.2333333333333333,29.708333333333336,0.6458333333333334,170050.72194444443,0.6815277777777777,,,,,
postgresql_squirrel_r1,SQUIRREL,PostgreSQL,1,60,606.72,0.1875,26.74418604651163,0.5813953488372093,52025.0,0.2085053343700153,,,,,
postgresql_squirrel_r1,SQUIRREL,PostgreSQL,1,180,606.72,0.1875,28.88372093023256,0.627906976744186,57929.99999999999,0.2321713410870732,,,,,
