run,dedup_line_no,first_seen_hours,bug_id,status,match_confidence,match_score,exact_sql_match,first_frame_hit,first_distinctive_hit,top_distinctive_hit,frame_hits,distinctive_hits,word_jaccard,top_frame_demangled,jira_top_frames,trigger_summary,log_path,dedup_line
r2,5,3.276388888888889,MDEV-39884,Confirmed,stack_strong,53.98347107438016,False,True,True,False,4,4,0.06611570247933884,"find_field_in_tables(THD*, Item_ident*, TABLE_LIST*, TABLE_LIST*, List<TABLE_LIST>*, Item**, find_item_error_report_type, bool, bool)",Item_field::fix_fields|create_view_field|find_field_in_table_ref|find_field_in_tables|Item_direct_view_ref::fix_fields|Item_func::fix_fields|st_select_lex::pushdown_from_having_into_where|JOIN::optimize_inner,Server crash in Item_field::fix_fields with generated SQL query,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000163_20260629_14h35m55s/griffin.log,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000163_20260629_14h35m55s/griffin.log:[force_exit_all] #0 0x5933eb004544 (_Z20find_field_in_tablesP3THDP10Item_identP10TABLE_LISTS4_P4ListIS3_EPP4Item27find_item_error_report_typebb+0x14)
r2,6,3.033888888888889,MDEV-39889,Confirmed,unmatched,24.26086956521739,False,False,False,False,3,3,0.008695652173913044,"sub_select_postjoin_aggr(JOIN*, st_join_table*, bool)",_ma_unique_hash|maria_write|handler::ha_write_tmp_row|end_write|evaluate_join_record|sub_select|JOIN::exec_inner|JOIN::exec,GIS and JSON/XML predicates inside set-operation query,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000099_20260629_14h21m22s/griffin.log,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000099_20260629_14h21m22s/griffin.log:[force_exit_all] #0 0x5e4daa77f1cb (_Z24sub_select_postjoin_aggrP4JOINP13st_join_tableb+0x10b)
r2,7,4.269444444444445,MDEV-39918,Confirmed,stack_strong,72.38216560509554,False,True,True,True,7,7,0.012738853503184714,"execute_degenerate_jtbm_semi_join(THD*, TABLE_LIST*, Item_in_subselect*, List<Item>&)",execute_degenerate_jtbm_semi_join|setup_jtbm_semi_joins|JOIN::optimize_inner|JOIN::optimize|st_select_lex::optimize_unflattened_subqueries|st_select_lex::optimize_constant_subqueries|mysql_select|_Z13handle_selectP3THDP3LEXP13select_resulty}},Recursive CTE with geohash time-conversion set operation,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000399_20260629_15h35m30s/griffin.log,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000399_20260629_15h35m30s/griffin.log:[force_exit_all] #0 0x60b82d5b923f (_Z33execute_degenerate_jtbm_semi_joinP3THDP10TABLE_LISTP17Item_in_subselectR4ListI4ItemE+0x9f)
r2,8,14.910555555555556,MDEV-39894,Reported,unmatched,1.5789473684210527,False,False,False,False,0,0,0.05263157894736842,"my_xpath_lex_scan(my_xpath_st*, my_xpath_lex_st*, char const*, char const*)",pthread_kill|raise|abort|__fsetlocking|timer_settime|__default_morecore|malloc|my_malloc,Window aggregate with GIS/JSON set operation,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000946_20260630_02h13m58s/griffin.log,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000946_20260630_02h13m58s/griffin.log:[force_exit_all] #0 0x608ef85561ca (_ZL17my_xpath_lex_scanP11my_xpath_stP15my_xpath_lex_stPKcS4_+0x1a)
r2,9,6.405555555555556,MDEV-39884,Confirmed,stack_strong,74.19895287958116,False,True,True,True,4,4,0.07329842931937172,"Item_field::fix_fields(THD*, Item**)",Item_field::fix_fields|create_view_field|find_field_in_table_ref|find_field_in_tables|Item_direct_view_ref::fix_fields|Item_func::fix_fields|st_select_lex::pushdown_from_having_into_where|JOIN::optimize_inner,Server crash in Item_field::fix_fields with generated SQL query,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000561_20260629_17h43m40s/griffin.log,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000561_20260629_17h43m40s/griffin.log:[force_exit_all] #0 0x612d70274e23 (_ZN10Item_field10fix_fieldsEP3THDPP4Item+0x183)
r2,10,21.93611111111111,MDEV-39887,Confirmed,weak_review,34.53521126760563,False,False,False,False,5,5,0.08450704225352113,"Item_string::save_in_field(Field*, bool)",setup_copy_fields|JOIN::make_aggr_tables_info|JOIN::optimize_stage2|JOIN::optimize_inner|JOIN::optimize|st_select_lex::optimize_unflattened_subqueries|mysql_select|handle_select,Nested recursive CTE with GIS geohash and window expression,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_001157_20260630_09h15m30s/griffin.log,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_001157_20260630_09h15m30s/griffin.log:[force_exit_all] #0 0x6386b5b5ab18 (_ZN11Item_string13save_in_fieldEP5Fieldb+0xb8)
r2,11,22.38083333333333,MDEV-39887,Confirmed,weak_review,34.265446224256294,False,False,False,False,5,5,0.07551487414187644,"Field_longstr::check_string_copy_error(String_copier const*, char const*, charset_info_st const*)",setup_copy_fields|JOIN::make_aggr_tables_info|JOIN::optimize_stage2|JOIN::optimize_inner|JOIN::optimize|st_select_lex::optimize_unflattened_subqueries|mysql_select|handle_select,Nested recursive CTE with GIS geohash and window expression,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_001160_20260630_09h42m11s/griffin.log,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_001160_20260630_09h42m11s/griffin.log:[force_exit_all] #0 0x6476a33dbfde (_ZN13Field_longstr23check_string_copy_errorEPK13String_copierPKcPK15charset_info_st+0x8e)
r2,12,16.086666666666666,MDEV-39912,Confirmed,weak_review,34.180616740088105,False,False,False,False,4,4,0.07268722466960352,store_key_item::copy_inner(),Item_field::used_tables|remove_const|JOIN::optimize_inner|JOIN::optimize|st_select_lex::optimize_unflattened_subqueries|JOIN::optimize_stage2|st_select_lex::optimize_constant_subqueries|mysql_select,"Recursive CTE with GET_LOCK, LEAST, and XML predicate",/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000985_20260630_03h24m32s/griffin.log.1,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000985_20260630_03h24m32s/griffin.log.1:[force_exit_all] #0 0x5bd8722d14b1 (_ZN14store_key_item10copy_innerEv+0x71)
r2,13,4.5575,MDEV-39889,Confirmed,unmatched,24.07792207792208,False,False,False,False,3,3,0.0025974025974025974,store_key_item::copy_inner(),_ma_unique_hash|maria_write|handler::ha_write_tmp_row|end_write|evaluate_join_record|sub_select|JOIN::exec_inner|JOIN::exec,GIS and JSON/XML predicates inside set-operation query,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000451_20260629_15h52m47s/griffin.log,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000451_20260629_15h52m47s/griffin.log:[force_exit_all] #0 0x59674a03f4c6 (_ZN14store_key_item10copy_innerEv+0x86)
r2,14,8.47,MDEV-39896,Reported,stack_strong,74.38095238095238,False,True,True,True,5,5,0.07936507936507936,"Item_func_buffer::Transporter::add_edge_buffer(double, double, bool, bool)",Item_func_buffer::Transporter::add_edge_buffer|Item_func_buffer::Transporter::complete|Item_func_buffer::Transporter::complete_line|Item_func_buffer::val_str|Item_func_as_wkt::val_str_ascii|Item_func::val_str_from_val_str_ascii|Item_func_regexp_replace::val_str_internal|Type_handler::Item_send_str,Recursive CTE with REGEXP_REPLACE and ROW_NUMBER,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000681_20260629_19h47m32s/griffin.log,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000681_20260629_19h47m32s/griffin.log:[force_exit_all] #0 0x6151ba510912 (_ZN16Item_func_buffer11Transporter15add_edge_bufferEddbb+0x682)
