status,tool,dbms,run,bug_id,first_seen_hours,first_seen_hours_rounded,log_path,validation_file,match_strength,reason,stack_top,stack_excerpt,sql_excerpt
counted_feedback_match,SQLeek,MonetDB,r5,MONETDB-007-EXP-MATCH-CUBE,12.771944,12.771944,/root/dfuzz-griffin/griffin_output/griffin_monetdb_sqleek_rnd5/logSaved/id_000055_20260630_00h05m19s/griffin.log,BUG-SQLEEK-MONETDB-007-exp-match-cube-subquery-crash.md,exact-top-function,,[force_exit_all] #0 0x7ad39490895d (exp_match+0x3d),[force_exit_all] #0 0x7ad39490895d (exp_match+0x3d) | [force_exit_all] #1 0x7ad394908d5c (exps_find_exp+0x5c) | [force_exit_all] #2 0x7ad39493c82d (rel_unnest_projects+0x20d) | [force_exit_all] #3 0x7ad3949293be (rel_visitor_bu+0x64e) | [force_exit_all] #4 0x7ad3949290dc (rel_visitor_bu+0x36c),"SELECT x + x FROM ( SELECT 1 AS x , 1 AS x ) AS x ORDER BY x LIMIT 1 ;  SELECT x + x FROM ( SELECT CAST( 1.100000 AS DOUBLE PRECISION ) AS x UNION SELECT 2 UNION SELECT 0.540000 ) AS x WHERE ( SELECT var_pop ( 1 ) OVER ( ORDER BY CAST( AVG ( - ( 63 ) ) LIKE ( SELECT COUNT ( * ) ="
not_counted,SQLeek,MonetDB,r5,,3.701111,3.701111,/root/dfuzz-griffin/griffin_output/griffin_monetdb_sqleek_rnd5/logSaved/id_000003_20260629_15h01m04s/griffin.log,,,no feedback signature match,[force_exit_all] #0 0x72670a5edd3f (bin_find_smallest_column+0x4f),[force_exit_all] #0 0x72670a5edd3f (bin_find_smallest_column+0x4f) | [force_exit_all] #1 0x72670a5ec5d8 (exp_bin+0x8018) | [force_exit_all] #2 0x72670a5e9354 (exp_bin+0x4d94) | [force_exit_all] #3 0x72670a5e9354 (exp_bin+0x4d94) | [force_exit_all] #4 0x72670a5e7876 (exp_bin+0x32b6),SELECT DISTINCT - 82 * 26 - 12 * - 27 * CASE WHEN NOT - 21 / - ( CASE 85 WHEN - 77 / - ( 99 ) THEN COUNT ( * ) ELSE COUNT ( * ) * - ( COUNT ( * ) ) END ) IS NOT NULL THEN 63 END AS x GROUP BY 1 HAVING x = 'letterd' ; child 921484 exited normal exit status=0 child 914436 stoped si
not_counted,SQLeek,MonetDB,r5,,3.701667,3.701667,/root/dfuzz-griffin/griffin_output/griffin_monetdb_sqleek_rnd5/logSaved/id_000004_20260629_15h01m06s/griffin.log,,,no feedback signature match,[force_exit_all] #0 0x7b2ba43e5d3f (bin_find_smallest_column+0x4f),[force_exit_all] #0 0x7b2ba43e5d3f (bin_find_smallest_column+0x4f) | [force_exit_all] #1 0x7b2ba43e45d8 (exp_bin+0x8018) | [force_exit_all] #2 0x7b2ba43e1354 (exp_bin+0x4d94) | [force_exit_all] #3 0x7b2ba43e1354 (exp_bin+0x4d94) | [force_exit_all] #4 0x7b2ba43df876 (exp_bin+0x32b6),SELECT DISTINCT - 82 * 26 - 12 * - 27 * CASE WHEN NOT - 21 / - ( CASE 85 WHEN - 77 / - ( 99 ) THEN COUNT ( * ) ELSE COUNT ( * ) * - ( COUNT ( * ) ) END ) IS NOT NULL THEN 63 END AS x GROUP BY 1 HAVING x = 'letterd' ;  child 921835 stoped signal number=11
not_counted,SQLeek,MonetDB,r5,,3.702778,3.702778,/root/dfuzz-griffin/griffin_output/griffin_monetdb_sqleek_rnd5/logSaved/id_000007_20260629_15h01m10s/griffin.log,,,no feedback signature match,[force_exit_all] #0 0x79a4c9aa2d3f (bin_find_smallest_column+0x4f),[force_exit_all] #0 0x79a4c9aa2d3f (bin_find_smallest_column+0x4f) | [force_exit_all] #1 0x79a4c9aa15d8 (exp_bin+0x8018) | [force_exit_all] #2 0x79a4c9a9e354 (exp_bin+0x4d94) | [force_exit_all] #3 0x79a4c9a9e354 (exp_bin+0x4d94) | [force_exit_all] #4 0x79a4c9a9e354 (exp_bin+0x4d94),"SELECT DISTINCT - 82 * 26 - 12 * - 27 * CASE WHEN NOT NULL NOT IN ( - 69 , ( SUM ( DISTINCT CAST( NULL AS INTEGER ) ) ) + MAX ( - 6 ) + - COUNT ( * ) / - - ( 77 ) + 37 , 44 , ( rtrim ( '\\000Tom\\000' , '\000' ) ) = ( SELECT 4 ) >= TRUE BETWEEN 45 - - CASE 70 WHEN COUNT ( * ) + S"
not_counted,SQLeek,MonetDB,r5,,3.703056,3.703056,/root/dfuzz-griffin/griffin_output/griffin_monetdb_sqleek_rnd5/logSaved/id_000008_20260629_15h01m11s/griffin.log,,,no feedback signature match,[force_exit_all] #0 0x7eb0f3d3dd3f (bin_find_smallest_column+0x4f),[force_exit_all] #0 0x7eb0f3d3dd3f (bin_find_smallest_column+0x4f) | [force_exit_all] #1 0x7eb0f3d3c5d8 (exp_bin+0x8018) | [force_exit_all] #2 0x7eb0f3d39354 (exp_bin+0x4d94) | [force_exit_all] #3 0x7eb0f3d39354 (exp_bin+0x4d94) | [force_exit_all] #4 0x7eb0f3d39354 (exp_bin+0x4d94),"SELECT DISTINCT - 82 * 26 - 12 * - 27 * CASE WHEN NOT NULL NOT IN ( - 69 , ( SUM ( DISTINCT CAST( NULL AS INTEGER ) ) ) + MAX ( - 6 ) + - COUNT ( * ) / - - ( 77 ) + 37 , 44 , ( rtrim ( '\\000Tom\\000' , '\000' ) ) = ( SELECT 4 ) >= TRUE BETWEEN 45 - - CASE 70 WHEN COUNT ( * ) + S"
not_counted,SQLeek,MonetDB,r5,,3.703889,3.703889,/root/dfuzz-griffin/griffin_output/griffin_monetdb_sqleek_rnd5/logSaved/id_000009_20260629_15h01m14s/griffin.log,,,no feedback signature match,[force_exit_all] #0 0x7e2d9d2eed3f (bin_find_smallest_column+0x4f),[force_exit_all] #0 0x7e2d9d2eed3f (bin_find_smallest_column+0x4f) | [force_exit_all] #1 0x7e2d9d2ed5d8 (exp_bin+0x8018) | [force_exit_all] #2 0x7e2d9d2ea354 (exp_bin+0x4d94) | [force_exit_all] #3 0x7e2d9d2e6011 (exp_bin+0xa51) | [force_exit_all] #4 0x7e2d9d2ea354 (exp_bin+0x4d94),"SELECT DISTINCT - 82 * 26 - 12 * - 27 * CASE WHEN NOT NULL IN ( - 69 , ( cos ( DISTINCT CAST( NULL AS INTEGER ) ) ) + - CASE 77 WHEN - 52 THEN 43 + 71 + - AVG ( 93 ) ^ 46 * 1 + - - COUNT ( * ) ELSE NULL END >= 1 + - COUNT ( * ) / - - ( 77 ) + 37 , 44 , - - 0 * 23 , - - 86 , 3 , 1"
not_counted,SQLeek,MonetDB,r5,,3.704167,3.704167,/root/dfuzz-griffin/griffin_output/griffin_monetdb_sqleek_rnd5/logSaved/id_000010_20260629_15h01m15s/griffin.log,,,no feedback signature match,[force_exit_all] #0 0x784252761d3f (bin_find_smallest_column+0x4f),[force_exit_all] #0 0x784252761d3f (bin_find_smallest_column+0x4f) | [force_exit_all] #1 0x7842527605d8 (exp_bin+0x8018) | [force_exit_all] #2 0x78425275d354 (exp_bin+0x4d94) | [force_exit_all] #3 0x784252759011 (exp_bin+0xa51) | [force_exit_all] #4 0x78425275d354 (exp_bin+0x4d94),"SELECT DISTINCT - 82 * 26 - 12 * - 27 * CASE WHEN NOT NULL IN ( - 69 , ( cos ( DISTINCT CAST( NULL AS INTEGER ) ) ) + - CASE 77 WHEN - 52 THEN 43 + 71 + - AVG ( 93 ) ^ 46 * 1 + - - COUNT ( * ) ELSE NULL END >= 1 + - COUNT ( * ) / - - ( 77 ) + 37 , 44 , - - 0 * 23 , - - 86 , 3 , 1"
not_counted,SQLeek,MonetDB,r5,,7.150556,7.150556,/root/dfuzz-griffin/griffin_output/griffin_monetdb_sqleek_rnd5/logSaved/id_000015_20260629_18h28m02s/griffin.log,,,no feedback signature match,[force_exit_all] #0 0x73cce0b3bd3f (bin_find_smallest_column+0x4f),[force_exit_all] #0 0x73cce0b3bd3f (bin_find_smallest_column+0x4f) | [force_exit_all] #1 0x73cce0b3a5d8 (exp_bin+0x8018) | [force_exit_all] #2 0x73cce0b37354 (exp_bin+0x4d94) | [force_exit_all] #3 0x73cce0b33011 (exp_bin+0xa51) | [force_exit_all] #4 0x73cce0b35876 (exp_bin+0x32b6),"SELECT DISTINCT - 82 * 26 - 12 * - 27 * CASE WHEN NOT NULL IN ( - 69 , - CASE 77 WHEN - 52 THEN 43 + 71 + - AVG ( 93 ) ^ ROUND ( DISTINCT 1 , 'f11' ) ELSE NULL END >= - ( '{""a"":""b"", ""c"":""q""}' ) , 44 , - - 0 * 23 , - - 86 , 3 , 12 ) THEN 41 WHEN NOT - 21 / - 95 IS NOT NULL THEN 63"
not_counted,SQLeek,MonetDB,r5,,7.150833,7.150833,/root/dfuzz-griffin/griffin_output/griffin_monetdb_sqleek_rnd5/logSaved/id_000016_20260629_18h28m03s/griffin.log,,,no feedback signature match,[force_exit_all] #0 0x7850e4028d3f (bin_find_smallest_column+0x4f),[force_exit_all] #0 0x7850e4028d3f (bin_find_smallest_column+0x4f) | [force_exit_all] #1 0x7850e40275d8 (exp_bin+0x8018) | [force_exit_all] #2 0x7850e4024354 (exp_bin+0x4d94) | [force_exit_all] #3 0x7850e4024354 (exp_bin+0x4d94) | [force_exit_all] #4 0x7850e4024354 (exp_bin+0x4d94),"SELECT DISTINCT - 82 * 26 - 12 * - 27 * CASE WHEN NOT NULL IN ( - 69 , ( cos ( DISTINCT CAST( NULL AS INTEGER ) ) ) + FALSE >= CASE - ( 0 ) WHEN 18 + - 60 THEN NULL WHEN - CASE - 67 WHEN - ( EXISTS ( SELECT 1 WHERE FALSE ) ) - 32 * 69 THEN MAX ( DISTINCT 34 ) / 0 ELSE NULL END + "
not_counted,SQLeek,MonetDB,r5,,7.151111,7.151111,/root/dfuzz-griffin/griffin_output/griffin_monetdb_sqleek_rnd5/logSaved/id_000017_20260629_18h28m04s/griffin.log,,,no feedback signature match,[force_exit_all] #0 0x787f1b301d3f (bin_find_smallest_column+0x4f),[force_exit_all] #0 0x787f1b301d3f (bin_find_smallest_column+0x4f) | [force_exit_all] #1 0x787f1b3005d8 (exp_bin+0x8018) | [force_exit_all] #2 0x787f1b2fd354 (exp_bin+0x4d94) | [force_exit_all] #3 0x787f1b2fd354 (exp_bin+0x4d94) | [force_exit_all] #4 0x787f1b2fd354 (exp_bin+0x4d94),"SELECT DISTINCT - 82 * 26 - 12 * - 27 * CASE WHEN NOT NULL IN ( - 69 , ( cos ( DISTINCT CAST( NULL AS INTEGER ) ) ) + FALSE >= CASE - ( 0 ) WHEN 18 + - 60 THEN NULL WHEN - CASE - 67 WHEN - ( EXISTS ( SELECT 1 WHERE FALSE ) ) - 32 * 69 THEN MAX ( DISTINCT 34 ) / 0 ELSE NULL END + "
not_counted,SQLeek,MonetDB,r5,,7.153333,7.153333,/root/dfuzz-griffin/griffin_output/griffin_monetdb_sqleek_rnd5/logSaved/id_000024_20260629_18h28m12s/griffin.log,,,no feedback signature match,[force_exit_all] #0 0x7cbf6a1d8d3f (bin_find_smallest_column+0x4f),[force_exit_all] #0 0x7cbf6a1d8d3f (bin_find_smallest_column+0x4f) | [force_exit_all] #1 0x7cbf6a1d75d8 (exp_bin+0x8018) | [force_exit_all] #2 0x7cbf6a1d4354 (exp_bin+0x4d94) | [force_exit_all] #3 0x7cbf6a1d4354 (exp_bin+0x4d94) | [force_exit_all] #4 0x7cbf6a1d0011 (exp_bin+0xa51),"SELECT DISTINCT - 82 * 26 - 12 * - 27 * CASE WHEN NOT NULL IN ( - 69 , CASE - ( 0 ) WHEN 18 + - 60 THEN NULL WHEN - CASE - 67 WHEN - 79 * LPAD ( covar_pop ( 1 , - 32 * ( ( SELECT 9 ) ) ) , log2 ( 64.000000 ) ) / 30 - 32 * ( ( SELECT 9 ) ) THEN MAX ( DISTINCT 34 ) / 0 ELSE NULL EN"
not_counted,SQLeek,MonetDB,r5,,7.153611,7.153611,/root/dfuzz-griffin/griffin_output/griffin_monetdb_sqleek_rnd5/logSaved/id_000025_20260629_18h28m13s/griffin.log,,,no feedback signature match,[force_exit_all] #0 0x7b987e218d3f (bin_find_smallest_column+0x4f),[force_exit_all] #0 0x7b987e218d3f (bin_find_smallest_column+0x4f) | [force_exit_all] #1 0x7b987e2175d8 (exp_bin+0x8018) | [force_exit_all] #2 0x7b987e214354 (exp_bin+0x4d94) | [force_exit_all] #3 0x7b987e214354 (exp_bin+0x4d94) | [force_exit_all] #4 0x7b987e210011 (exp_bin+0xa51),"SELECT DISTINCT - 82 * 26 - 12 * - 27 * CASE WHEN NOT NULL IN ( - 69 , CASE - ( 0 ) WHEN 18 + - 60 THEN NULL WHEN - CASE - 67 WHEN - 79 * LPAD ( covar_pop ( 1 , - 32 * ( ( SELECT 9 ) ) ) , log2 ( 64.000000 ) ) / 30 - 32 * ( ( SELECT 9 ) ) THEN MAX ( DISTINCT 34 ) / 0 ELSE NULL EN"
not_counted,SQLeek,MonetDB,r5,,7.154167,7.154167,/root/dfuzz-griffin/griffin_output/griffin_monetdb_sqleek_rnd5/logSaved/id_000026_20260629_18h28m15s/griffin.log,,,no feedback signature match,[force_exit_all] #0 0x7c376801bd3f (bin_find_smallest_column+0x4f),[force_exit_all] #0 0x7c376801bd3f (bin_find_smallest_column+0x4f) | [force_exit_all] #1 0x7c3768019dcd (exp_bin+0x780d) | [force_exit_all] #2 0x7c3768017354 (exp_bin+0x4d94) | [force_exit_all] #3 0x7c3768017354 (exp_bin+0x4d94) | [force_exit_all] #4 0x7c3768017354 (exp_bin+0x4d94),"SELECT DISTINCT - 79 * - 32 * ( ( SELECT 9 ) ) - 'a*(?<!a)b*' * - 27 * CASE WHEN NOT NULL IN ( - COALESCE ( CASE WHEN 17 IS NOT NULL THEN ( ( - 39 ) ) WHEN NOT NULL = ( NULL ) THEN NULL ELSE 52 END , - COUNT ( * ) * - 80 , NULLIF ( CASE - 70 WHEN 48 + 63 THEN NULL ELSE 89 * 57 EN"
not_counted,SQLeek,MonetDB,r5,,7.154444,7.154444,/root/dfuzz-griffin/griffin_output/griffin_monetdb_sqleek_rnd5/logSaved/id_000027_20260629_18h28m16s/griffin.log,,,no feedback signature match,[force_exit_all] #0 0x7fcfa0de7d3f (bin_find_smallest_column+0x4f),[force_exit_all] #0 0x7fcfa0de7d3f (bin_find_smallest_column+0x4f) | [force_exit_all] #1 0x7fcfa0de5dcd (exp_bin+0x780d) | [force_exit_all] #2 0x7fcfa0de3354 (exp_bin+0x4d94) | [force_exit_all] #3 0x7fcfa0de3354 (exp_bin+0x4d94) | [force_exit_all] #4 0x7fcfa0de3354 (exp_bin+0x4d94),"SELECT DISTINCT - 79 * - 32 * ( ( SELECT 9 ) ) - 'a*(?<!a)b*' * - 27 * CASE WHEN NOT NULL IN ( - COALESCE ( CASE WHEN 17 IS NOT NULL THEN ( ( - 39 ) ) WHEN NOT NULL = ( NULL ) THEN NULL ELSE 52 END , - COUNT ( * ) * - 80 , NULLIF ( CASE - 70 WHEN 48 + 63 THEN NULL ELSE 89 * 57 EN"
